Week No.,Start Date,End Date,Phase,Primary Focus / Weekly Goal,GS Subject 1 (Topic/Chapters),GS Subject 2 / Optional (Topic/Chapters),CSAT (Topic/Practice),Current Affairs (Activity),Answer Writing / Essay (Task),Weekly Test (Topics to Cover),Milestone Tracker / Key Deliverable
1,12-May-25,18-May-25,0,"CSAT Intro, Polity Start, Optional Decision","Polity Ch 1-3 (Intro, Making, Salient Features)",,"CSAT: Numeracy (Number System, Avg, %)",Newspaper Reading,,"Polity Ch 1-3, CSAT Numeracy Basics","Optional Subject Decision process active"
2,19-May-25,25-May-25,0,"CSAT Numeracy, Polity","Polity Ch 4-6 (Preamble, Union & Territory, Citizenship)",,"CSAT: Numeracy (Ratio, Proportion, Profit/Loss)",Newspaper Reading,,"Polity Ch 4-6, CSAT Numeracy","Optional Subject Finalized by end of this week"
3,26-May-25,01-Jun-25,0,"CSAT Reasoning, Polity","Polity Ch 7-9 (Fundamental Rights, DPSP, Fund. Duties)",,"CSAT: Logical Reasoning (Syllogism, Statements)",Newspaper Reading,,"Polity Ch 7-9, CSAT Reasoning","Polity ~40% Done"
4,02-Jun-25,08-Jun-25,0,"CSAT Comprehension, Polity","Polity Ch 10-12 (Amendment, Basic Structure, Parl. Sys)",,"CSAT: Comprehension (Practice Passages), DI Intro",Newspaper Reading,,"Polity Ch 10-12, CSAT Comprehension","CSAT Syllabus: Initial Pass on Major Areas"
5,09-Jun-25,15-Jun-25,0,"CSAT DI & GMA, Polity","Polity Ch 13-15 (Federal Sys, Centre-State, Inter-State)",,"CSAT: Data Interpretation, General Mental Ability",Newspaper Reading,,"Polity Ch 13-15, CSAT DI & GMA","Polity ~70% Done"
6,16-Jun-25,22-Jun-25,0,"CSAT Problem Solving, Polity","Polity Ch 16-18 (Emergency, President, VP)",,"CSAT: Decision Making & Problem Solving, Interpersonal Skills",Newspaper Reading,,"Polity Ch 16-18, CSAT Problem Solving","Take 1 full CSAT PYP/Mock"
7,23-Jun-25,29-Jun-25,0,"CSAT Consolidation & Polity Finish","Polity Ch 19-21 (PM, CoM, Parliament) & Revise all Polity",,"CSAT: Full Syllabus Revision + 1 Mock Test",Newspaper Reading,,"Full Polity Syllabus, Full CSAT Mock","Milestone 0.1: CSAT Syllabus Covered, Polity ~100% Done (1st Reading)"
8,30-Jun-25,06-Jul-25,1,"Modern History Start, Optional Prep Start","Modern History: Chapters 1-4","Optional Paper 1: Unit 1 (Topic Breakdown)","CSAT: 1 Practice Paper/week (Mixed)","Newspaper + Start Monthly Magazine",,"Mod Hist Ch 1-4, Optional Unit 1 Basics","Phase 1 Kick-off"
9,07-Jul-25,13-Jul-25,1,"Modern History, Optional","Modern History: Chapters 5-8","Optional Paper 1: Unit 1 (Continued) / Unit 2 Start","CSAT: 1 Practice Paper/week","Newspaper + Magazine",,"Mod Hist Ch 5-8, Optional Unit 1/2","Modern History ~50% done"
10,14-Jul-25,20-Jul-25,1,"Modern History, Optional","Modern History: Chapters 9-12","Optional Paper 1: Unit 2 (Continued)","CSAT: 1 Practice Paper/week","Newspaper + Magazine","Answer Writing Intro: 1-2 Qs (Polity)","Mod Hist Ch 9-12, Optional Unit 2","Answer Writing Habit Initiated"
11,21-Jul-25,27-Jul-25,1,"Modern History Finish, Optional","Modern History: Chapters 13-16 & Revise all Mod Hist","Optional Paper 1: Unit 3 Start","CSAT: 1 Practice Paper/week","Newspaper + Magazine","Answer Writing: 1-2 Qs (Mod Hist)","Full Modern History, Optional Unit 3 Basics",
12,28-Jul-25,03-Aug-25,1,"Consolidation & Testing Week 1","Revise: Full Polity, Full Modern History","Revise: Optional Paper 1 Units 1-3","CSAT: 1 Full Mock Test","Catch up on Current Affairs Notes",,"Comprehensive Test: Polity, Mod Hist, Optional Units 1-3","Milestone 1.1: Polity & Mod Hist 1st Reading Complete. Optional P1 Initiated."
13,04-Aug-25,10-Aug-25,1,"Ancient History Start, Optional","Ancient History: Chapters 1-4","Optional Paper 1: Unit 3 (Continued) / Unit 4 Start","CSAT: 1 Practice Paper/week","Newspaper + Magazine","Answer Writing: 2 Qs (History/Polity)","Ancient Hist Ch 1-4, Optional Unit 3/4",
14,11-Aug-25,17-Aug-25,1,"Ancient History, Optional","Ancient History: Chapters 5-7","Optional Paper 1: Unit 4 (Continued)","CSAT: 1 Practice Paper/week","Newspaper + Magazine","Answer Writing: 2 Qs","Ancient Hist Ch 5-7, Optional Unit 4","Ancient History ~50% done"
15,18-Aug-25,24-Aug-25,1,"Ancient History, Optional","Ancient History: Chapters 8-10","Optional Paper 1: Unit 5 Start","CSAT: 1 Practice Paper/week","Newspaper + Magazine","Answer Writing: 2-3 Qs","Ancient Hist Ch 8-10, Optional Unit 5 Basics",
16,25-Aug-25,31-Aug-25,1,"Ancient History Finish, Optional","Ancient History: Chapters 11-14 & Revise all Ancient Hist","Optional Paper 1: Unit 5 (Continued)","CSAT: 1 Practice Paper/week","Newspaper + Magazine","Answer Writing: 2-3 Qs","Full Ancient History, Optional Unit 5",
17,01-Sep-25,07-Sep-25,1,"Consolidation & Testing Week 2","Revise: Full Ancient History","Revise: Optional Paper 1 Units covered so far (e.g. 3-5)","CSAT: 1 Full Mock Test","Catch up on Current Affairs Notes",,"Comprehensive Test: Ancient History, Optional Units 3-5","Milestone 1.2: Ancient History 1st Reading Complete."
18,08-Sep-25,14-Sep-25,1,"Medieval History Start, Optional","Medieval History: Chapters 1-4","Optional Paper 1: Unit 6 Start","CSAT: 1 Practice Paper/week","Newspaper + Magazine","Answer Writing: 2-3 Qs","Medieval Hist Ch 1-4, Optional Unit 6 Basics",
19,15-Sep-25,21-Sep-25,1,"Medieval History, Optional","Medieval History: Chapters 5-7","Optional Paper 1: Unit 6 (Continued)","CSAT: 1 Practice Paper/week","Newspaper + Magazine","Answer Writing: 2-3 Qs. Essay: Brainstorm topics","Medieval Hist Ch 5-7, Optional Unit 6","Medieval History ~50% done"
